Sl,Id,Conservation,Opennesstochange,Hedonism,SelfEnhancement,SelfTranscendience
340,FreakyKIOTL,0.71106,0.985078,0.998981,0.790094,0.813082
288,emillliiioooooo,0.677053,0.943813,0.995397,0.615805,0.745615
859,ottoclark__,0.585018,0.983257,0.993399,0.685999,0.782232
531,joeyzsazsa105,0.735538,0.922082,0.990798,0.631904,0.535008
653,Likkle_Koolie,0.685796,0.948578,0.989643,0.453656,0.532848
832,NikeGirlCheck,0.645969,0.926073,0.986483,0.511713,0.647918
199,DaGrimOneArtist,0.633556,0.958409,0.986167,0.767606,0.649733
710,MathiasJones_,0.784773,0.84366,0.986135,0.559126,0.402258
611,KMJerrod,0.772829,0.883802,0.985624,0.495704,0.51259
221,deadlyclaris,0.294893,0.973481,0.984782,0.743127,0.774144
783,Mr_Grantster,0.607922,0.870954,0.982874,0.715353,0.503017
759,miszrina,0.684174,0.845818,0.982355,0.50142,0.623465
770,Mojo1130,0.880491,0.922044,0.982129,0.223053,0.921949
806,NaelyKnows,0.206699,0.887117,0.97813,0.400963,0.714857
232,DiamondKesawn,0.702939,0.877152,0.976139,0.694726,0.4586
679,lttleprincess_,0.601203,0.949299,0.975306,0.748603,0.713454
841,NotoriousSIG_,0.33379,0.908863,0.975249,0.511726,0.649134
457,JadoreKarma,0.68272,0.997803,0.972222,0.903841,0.841639
604,KirstyyyM09,0.512702,0.775343,0.970923,0.536402,0.37059
752,MiniMouse215,0.494094,0.969868,0.970472,0.796923,0.763005
1073,tonychesneyfan,0.724764,0.977447,0.97029,0.434908,0.853371
984,ShE_iSiT,0.626772,0.818356,0.969258,0.438593,0.52769
238,djjoeyblayze,0.673806,0.716611,0.967774,0.49002,0.310795
453,Jackdc13,0.612343,0.622805,0.967054,0.557542,0.185228
1063,Tiwaina,0.819201,0.904693,0.965161,0.605177,0.661703
1021,stretchd,0.583665,0.70595,0.964546,0.490222,0.470436
565,JUMPINSOUNDS,0.604823,0.840708,0.962759,0.813808,0.514521
153,cbaccam23,0.465052,0.580597,0.961725,0.432066,0.166668
681,LukasSetto,0.516537,0.951491,0.960512,0.532702,0.685698
578,katek4307,0.557964,0.904422,0.959476,0.46596,0.57697
246,DobbyStyles,0.202291,0.98066,0.959273,0.863595,0.642011
202,dakiNGzQUEEN,0.553352,0.774926,0.958266,0.303475,0.544466
130,Burradley,0.491409,0.848595,0.95819,0.423109,0.431069
383,HansFleuriot,0.711235,0.941317,0.958021,0.659057,0.66676
1041,thatgirltee,0.838635,0.72661,0.956037,0.382318,0.508572
617,KristenBrasher,0.462334,0.919473,0.954343,0.500247,0.651338
413,houseofkurt,0.588545,0.80928,0.951643,0.541768,0.392594
847,OfficialSenaH,0.757112,0.890544,0.95151,0.796721,0.486654
569,Just____GB,0.572311,0.770917,0.951249,0.32054,0.374589
623,kyle_megababe,0.303121,0.832293,0.950733,0.66543,0.167758
599,KingCesaa,0.34676,0.767634,0.95013,0.429872,0.444357
1070,TommySmalls,0.271132,0.66295,0.949903,0.313884,0.360395
906,PrettiBoiRob,0.448605,0.690521,0.94806,0.31088,0.376303
307,Ess_See_NYC,0.570622,0.884021,0.946741,0.599447,0.541377
615,KrisanthWorld,0.498862,0.929887,0.946593,0.695698,0.428102
410,Hotfoot535,0.649486,0.641019,0.946183,0.408916,0.607479
581,kayles_jay7,0.528659,0.807187,0.945253,0.471059,0.529404
250,DonJuanDMrcoBLK,0.619344,0.792521,0.944691,0.318365,0.414443
978,Shashena,0.296977,0.640184,0.944471,0.520238,0.094104
1112,weirdlikejamiee,0.371284,0.621051,0.944365,0.32621,0.591782
574,KamronMeyers,0.48983,0.732262,0.944328,0.505792,0.384009
109,BonkersOnCoffee,0.472352,0.900266,0.943925,0.511917,0.589806
713,MattBInYYC,0.193079,0.78784,0.943294,0.576098,0.183663
47,AnKeEzY,0.44473,0.536089,0.943081,0.434743,0.206234
819,NerdyMusicChik,0.626621,0.728899,0.942768,0.489788,0.473387
719,mattyJtyler,0.256259,0.714913,0.942356,0.567159,0.157637
386,HattyKeane,0.822759,0.84004,0.94194,0.769926,0.617699
185,corndog071,0.502296,0.647437,0.941783,0.41562,0.414934
939,RSoon,0.111671,0.849633,0.941734,0.329664,0.499409
685,MADAMEMISKA,0.416518,0.710447,0.941567,0.823664,0.273935
507,JessMaryBriggs,0.363899,0.727035,0.940461,0.434509,0.61795
327,FierceDB,0.616028,0.907122,0.940428,0.685064,0.540984
474,Jaylimusic,0.518672,0.865324,0.940327,0.703615,0.461597
645,letsgomurphys,0.47454,0.546305,0.939985,0.356442,0.628654
0,051Craig,0.45702,0.820377,0.939839,0.585012,0.329398
977,Shan_MeShell,0.844471,0.652921,0.939456,0.392904,0.570313
1071,tonigcampbell,0.314978,0.971424,0.939365,0.855221,0.849722
632,LC_ninetytwo,0.695634,0.743688,0.936825,0.735614,0.436917
607,KiteVisionary,0.423098,0.965463,0.936191,0.639206,0.688687
740,MichiHIGHLIGHTS,0.722662,0.876077,0.936119,0.419921,0.648694
97,BigIrishJay,0.5746,0.600357,0.935585,0.568454,0.317792
1058,ThisGuy_Kav,0.49944,0.692685,0.935471,0.396907,0.290448
237,djeli,0.464031,0.68583,0.935102,0.405378,0.328785
918,raulsmith22,0.65253,0.643411,0.934355,0.273642,0.45441
164,ChicInspector,0.501177,0.84323,0.933745,0.681419,0.466852
369,grayeyesdontlie,0.702086,0.482034,0.933617,0.592476,0.147462
225,DebbieDC_RTR,0.557611,0.512832,0.933389,0.39875,0.276775
695,mann_at_arms,0.452266,0.440286,0.932753,0.616083,0.342999
398,heyjulieann,0.156864,0.703604,0.932251,0.34877,0.274936
543,JordanCRussell,0.296363,0.545266,0.931009,0.282147,0.383324
382,hamsofbone,0.282679,0.724678,0.93069,0.189773,0.515524
758,missladyjanedoe,0.446412,0.667673,0.929263,0.429621,0.667734
175,cjanneyfan23,0.339993,0.439165,0.926503,0.40465,0.176384
546,joshlwilliams93,0.02774,0.636095,0.925884,0.482446,0.176129
937,roxiebeane,0.232589,0.764345,0.925826,0.289921,0.571853
437,ilovelenyS13,0.768874,0.822716,0.925808,0.483096,0.687028
1093,unFLaWed,0.595265,0.52601,0.924783,0.262356,0.27162
252,Doogietha1,0.496967,0.510637,0.924086,0.311304,0.163282
169,chrisgwin,0.433996,0.587561,0.923655,0.220424,0.318523
1134,_Celenyyy,0.611943,0.614882,0.92301,0.420331,0.233012
32,amastop02,0.259245,0.726395,0.922272,0.384779,0.286939
556,JSVince,0.37882,0.720226,0.921701,0.444393,0.264234
1006,SpoiledBrat0925,0.871736,0.854703,0.9215,0.222511,0.720167
294,EmXtra,0.255236,0.646207,0.921339,0.259223,0.289863
935,RomoniDAubigne,0.337852,0.659429,0.921073,0.306714,0.409982
964,Scrumptyous1,0.679114,0.55871,0.920835,0.346446,0.295089
62,Audioscapist,0.296976,0.700857,0.918804,0.342536,0.687078
441,INDrob83,0.049292,0.793111,0.918741,0.457311,0.347159
131,BXB_Boy,0.714469,0.365778,0.918004,0.604256,0.266294
649,liannewiles,0.718951,0.508791,0.917759,0.577747,0.177189
927,RichGriffis,0.328573,0.883474,0.917576,0.231045,0.723357
298,EricFarrStyle,0.525954,0.84481,0.916108,0.757973,0.409741
815,NBomba,0.622667,0.872806,0.915764,0.717453,0.628758
677,LowerThanRy,0.221902,0.583797,0.915421,0.412394,0.140475
980,shell7609,0.388514,0.665509,0.914974,0.420148,0.749527
236,DjDuOne,0.445396,0.503344,0.913736,0.326831,0.14406
1043,theafricanrick,0.568503,0.596128,0.913036,0.24199,0.237496
406,HollieDuffin,0.664724,0.492412,0.912734,0.254289,0.416061
973,shaiyhoward,0.742816,0.712624,0.910426,0.457423,0.327797
348,gailie,0.434081,0.793217,0.910189,0.68265,0.364014
839,NKOTBLUVR77,0.507979,0.407747,0.910108,0.251463,0.256967
696,MarcLungley,0.547928,0.767316,0.909896,0.434494,0.31647
179,cmmarysz,0.495542,0.439146,0.90828,0.345426,0.107468
952,sammie_spad,0.218489,0.833059,0.906116,0.268429,0.440529
628,laurabeeson_,0.505442,0.662672,0.90598,0.523575,0.358254
755,missbrown24,0.391604,0.624742,0.903694,0.264866,0.473551
349,Game_Lord,0.491884,0.569733,0.903097,0.513593,0.307318
812,nashvillejessi,0.155255,0.651315,0.902594,0.289778,0.425546
1052,TheLifeOfNadia,0.44575,0.592884,0.902562,0.420019,0.319461
953,samorama,0.146992,0.588894,0.901497,0.277176,0.300448
117,brandylou525,0.679366,0.305152,0.901052,0.463918,0.398946
644,letchman,0.437613,0.536946,0.898425,0.353242,0.310073
1130,Zenmaster718,0.531201,0.513487,0.897983,0.257003,0.35009
323,featherbear15,0.332765,0.609079,0.897482,0.248485,0.492027
720,MattySexton,0.41919,0.534768,0.897348,0.290755,0.267139
29,allison6071,0.561593,0.917599,0.896261,0.715096,0.711558
464,JamieStocks,0.31144,0.601192,0.895335,0.34051,0.272813
742,Miggymack,0.308164,0.502719,0.894713,0.264172,0.166731
609,kkbelval,0.540111,0.549489,0.894301,0.340239,0.360953
650,LibrarianMandyH,0.245851,0.586337,0.893965,0.29346,0.346398
779,MrsMixtress,0.152086,0.551345,0.893464,0.20013,0.414988
686,Madisons_Avenue,0.406921,0.673261,0.89333,0.443193,0.215795
502,jeromez,0.528062,0.795015,0.893304,0.320845,0.575161
272,EddiemMark,0.601351,0.668602,0.893076,0.692871,0.209074
224,DebayDeLux,0.096025,0.775581,0.892389,0.430258,0.430307
857,oreondjs,0.469279,0.5803,0.892002,0.292501,0.574074
6,50centwingnight,0.369783,0.425759,0.891789,0.15536,0.282896
1098,Victoreedia,0.249024,0.72053,0.891355,0.24987,0.468963
150,CaseyJoChapman,0.774159,0.608211,0.891318,0.447068,0.352523
433,idamayyy,0.788634,0.738982,0.890897,0.576521,0.430205
391,Helen1lucas,0.734759,0.592284,0.890735,0.366902,0.10925
902,pluckus,0.704675,0.667843,0.890709,0.31992,0.374016
965,seabeck,0.511386,0.824801,0.890535,0.210411,0.467309
829,NiCOLE_SANDRA,0.545436,0.644217,0.890484,0.318723,0.585711
485,JDOTB81,0.527024,0.891457,0.890296,0.611967,0.398177
525,jmpedrosa82,0.235446,0.631764,0.889664,0.347384,0.405011
96,Biggguy069,0.593918,0.501976,0.889137,0.302702,0.219647
967,seanskisells,0.439901,0.467047,0.88901,0.145391,0.381126
661,lizardofAussie,0.25948,0.755461,0.888962,0.284639,0.413313
1055,thewayoftheid,0.141436,0.640937,0.888707,0.436011,0.337012
142,CapsDuck19,0.370356,0.484554,0.888672,0.178681,0.244077
717,mattlrobinson,0.391456,0.394006,0.88727,0.289168,0.212196
1059,ThisIsTee1,0.284423,0.563423,0.885877,0.284302,0.305056
789,MsLizzPHD,0.708517,0.867516,0.885215,0.399437,0.711652
522,JM1L1T4NT,0.549537,0.448273,0.884247,0.376135,0.15683
708,MaryKathleen144,0.26623,0.54192,0.884174,0.344429,0.159782
205,Danielmaude,0.710904,0.492175,0.883789,0.580587,0.209216
1012,StephSaysIt,0.519007,0.461247,0.883433,0.286008,0.306227
1045,TheatreGirl79,0.38893,0.692655,0.881815,0.307688,0.496318
216,dcarr66,0.425102,0.627029,0.881148,0.311463,0.358159
475,JaylixPorter,0.335988,0.558964,0.880873,0.431784,0.484209
991,Skullitor,0.415442,0.577135,0.880619,0.363301,0.580572
325,ffc2004,0.382628,0.4941,0.880501,0.362339,0.066937
418,Hypershift,0.292574,0.622377,0.880071,0.605606,0.329551
600,KiraNasrat,0.715821,0.769604,0.87991,0.615107,0.468941
962,ScottSandalow,0.287096,0.647001,0.878872,0.421579,0.151024
554,jrpatrick,0.622077,0.591224,0.877887,0.256921,0.271288
693,MandySayz,0.685466,0.255854,0.877525,0.287852,0.260556
792,msucraig09,0.277765,0.585863,0.877206,0.155108,0.175088
